service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"T0","1","1","1","1","1","0","0","20220811","20220825"
"T0_1","1","1","1","1","1","0","0","20220828","20220917"
"T0_2","1","1","1","1","1","0","0","20220918","20221002"
"T0_3","1","1","1","1","1","0","0","20221003","20221023"
"T0+a6","0","0","0","0","1","0","0","20220811","20220825"
"T0+a6_1","0","0","0","0","1","0","0","20220828","20220917"
"T0+a6_2","0","0","0","0","1","0","0","20220918","20221002"
"T0+a6_3","0","0","0","0","1","0","0","20221003","20221023"
"T0+ao","1","0","0","0","0","0","0","20220811","20220825"
"T0+ao_1","1","0","0","0","0","0","0","20220828","20220917"
"T0+ao_2","1","0","0","0","0","0","0","20220918","20221002"
"T0+ao_3","1","0","0","0","0","0","0","20221003","20221023"
"T0+ar","0","0","0","1","0","0","0","20220811","20220825"
"T0+ar_1","0","0","0","1","0","0","0","20220828","20220917"
"T0+ar_2","0","0","0","1","0","0","0","20220918","20221002"
"T0+ar_3","0","0","0","1","0","0","0","20221003","20221023"
"T2","0","0","0","0","0","1","0","20220723","20220723"
"T2_1","0","0","0","0","0","1","0","20220730","20220730"
"T2_2","0","0","0","0","0","1","0","20220806","20220806"
"T2_3","0","0","0","0","0","1","0","20220811","20220825"
"T2_4","0","0","0","0","0","1","0","20220826","20220827"
"T2_5","0","0","0","0","0","1","0","20220828","20220917"
"T2_6","0","0","0","0","0","1","0","20220918","20221002"
"T2_7","0","0","0","0","0","1","0","20221003","20221023"
"T5","0","0","1","1","0","0","0","20220727","20220728"
"T5_1","1","1","1","0","0","0","0","20220801","20220803"
"T5_2","1","1","0","0","0","0","0","20220808","20220809"
"T5+ao","1","0","0","0","0","0","0","20220801","20220803"
"T5+ao_1","1","0","0","0","0","0","0","20220808","20220809"
"T5+ar","0","0","0","1","0","0","0","20220727","20220728"
"T6","0","0","0","0","1","0","0","20220722","20220722"
"T6_1","0","0","0","0","1","0","0","20220729","20220729"
"T6_2","0","0","0","0","1","0","0","20220805","20220805"
"T6_3","0","0","0","0","1","0","0","20220826","20220827"
"UJ","0","0","0","0","0","0","1","20220724","20220724"
"UJ_1","0","0","0","0","0","0","1","20220731","20220731"
"UJ_2","0","0","0","0","0","0","1","20220807","20220807"
"UJ_3","0","0","0","0","0","0","1","20220811","20220825"
"UJ_4","0","0","0","0","0","0","1","20220828","20220917"
"UJ_5","0","0","0","0","0","0","1","20220918","20221002"
"UJ_6","0","0","0","0","0","0","1","20221003","20221023"
"UO","1","0","0","0","0","0","0","20220725","20220725"
"UP","0","1","0","0","0","0","0","20220726","20220726"
"UQ","0","0","1","0","0","0","0","20220810","20220810"
"UR","0","0","0","1","0","0","0","20220804","20220804"
