service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"T0+a5","1","1","1","1","0","0","0","20220725","20221023"
"T0+a5_1","1","1","1","1","0","0","0","20220722","20221023"
"T0+a6","0","0","0","0","1","0","0","20220725","20221023"
"T0+a6_1","0","0","0","0","1","0","0","20220722","20220723"
"T0+a6_2","0","0","0","0","1","0","0","20220722","20221023"
"T2","0","0","0","0","0","1","0","20220725","20221023"
"T2_1","0","0","0","0","0","1","0","20220722","20220723"
"T2_2","0","0","0","0","0","1","0","20220722","20221023"
"UJ","0","0","0","0","0","0","1","20220724","20220724"
"UJ_1","0","0","0","0","0","0","1","20220725","20221023"
"UJ_2","0","0","0","0","0","0","1","20220722","20221023"
