service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"T0","1","1","1","1","1","0","0","20220722","20221023"
"T0_1","1","1","1","1","1","0","0","20220828","20221023"
"T0_10","1","1","1","1","1","0","0","20220722","20221023"
"T0_11","1","1","1","1","1","0","0","20220722","20221023"
"T0_2","1","1","1","1","1","0","0","20220722","20220827"
"T0_3","1","1","1","1","1","0","0","20220722","20221023"
"T0_4","1","1","1","1","1","0","0","20220722","20221023"
"T0_5","1","1","1","1","1","0","0","20220722","20221023"
"T0_6","1","1","1","1","1","0","0","20220722","20221023"
"T0_7","1","1","1","1","1","0","0","20220722","20221023"
"T0_8","1","1","1","1","1","0","0","20220722","20221023"
"T0_9","1","1","1","1","1","0","0","20220722","20221001"
"T0+a5","1","1","1","1","0","0","0","20220722","20221023"
"T0+a6","0","0","0","0","1","0","0","20220722","20221023"
"T0+a6_1","0","0","0","0","1","0","0","20220722","20221023"
"T0+ao","1","0","0","0","0","0","0","20220722","20221023"
"T0+ap","0","1","0","0","0","0","0","20220722","20221023"
"T0+aq","0","0","1","0","0","0","0","20220722","20221023"
"T0+aq_1","0","0","1","0","0","0","0","20220828","20221023"
"T0+aq_2","0","0","1","0","0","0","0","20220722","20220827"
"T0+aq_3","0","0","1","0","0","0","0","20220722","20221023"
"T0+ar","0","0","0","1","0","0","0","20220722","20221023"
"T0+ar_1","0","0","0","1","0","0","0","20220722","20221023"
"T0+lm","1","0","0","0","1","0","0","20220722","20221023"
"T0+lq","0","1","0","1","0","0","0","20220828","20221023"
"T0+lq_1","0","1","0","1","0","0","0","20220722","20220827"
"T0+lq_2","0","1","0","1","0","0","0","20220722","20221023"
"T0+lq_3","0","1","0","1","0","0","0","20220722","20221023"
"T0+ls","0","1","0","0","1","0","0","20220722","20221023"
"T0+lu","0","0","1","1","0","0","0","20220722","20221023"
"T0+lw","0","0","1","0","1","0","0","20220722","20221023"
"T0+lw_1","0","0","1","0","1","0","0","20220722","20220930"
"T0+ly","0","0","0","1","1","0","0","20220722","20221023"
"T0+pb","1","0","1","1","1","0","0","20220722","20221023"
"T0+pn","0","1","1","1","0","0","0","20220722","20221023"
"T0+pp","1","0","0","1","1","0","0","20220722","20221023"
"T0+pr","1","0","1","0","1","0","0","20220722","20221023"
"T0+pt","1","0","1","1","0","0","0","20220722","20221023"
"T2","0","0","0","0","0","1","0","20220722","20221023"
"T2_1","0","0","0","0","0","1","0","20220722","20221023"
"T2_2","0","0","0","0","0","1","0","20220722","20221023"
"T2_3","0","0","0","0","0","1","0","20220722","20221023"
"T2_4","0","0","0","0","0","1","0","20220722","20221023"
"T2_5","0","0","0","0","0","1","0","20220722","20221023"
"T2_6","0","0","0","0","0","1","0","20220722","20221001"
"UJ","0","0","0","0","0","0","1","20220722","20221023"
"UJ_1","0","0","0","0","0","0","1","20220722","20221023"
"UJ_2","0","0","0","0","0","0","1","20220722","20221023"
"UJ_3","0","0","0","0","0","0","1","20220722","20221023"
"UJ_4","0","0","0","0","0","0","1","20220722","20221023"
"UJ_5","0","0","0","0","0","0","1","20220722","20221023"
"UJ_6","0","0","0","0","0","0","1","20220722","20220930"
"UR","0","0","0","1","0","0","0","20220722","20221023"
"UZ","0","0","0","0","1","0","0","20220722","20221023"
"UZ_1","0","0","0","0","1","0","0","20220722","20221023"
"UZ_2","0","0","0","0","1","0","0","20220722","20221023"
"UZ_3","0","0","0","0","1","0","0","20220722","20221023"
"UZ_4","0","0","0","0","1","0","0","20220722","20221023"
"UZ_5","0","0","0","0","1","0","0","20220722","20221023"
"UZ_6","0","0","0","0","1","0","0","20220722","20220930"
