service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"T2","0","0","0","0","0","1","0","20220722","20220807"
"T2_1","0","0","0","0","0","1","0","20220808","20220918"
"T2_10","0","0","0","0","0","1","0","20221003","20221023"
"T2_11","0","0","0","0","0","1","0","20220722","20220916"
"T2_12","0","0","0","0","0","1","0","20220722","20220918"
"T2_13","0","0","0","0","0","1","0","20220722","20221023"
"T2_14","0","0","0","0","0","1","0","20220919","20221002"
"T2_15","0","0","0","0","0","1","0","20221003","20221023"
"T2_2","0","0","0","0","0","1","0","20220722","20220918"
"T2_3","0","0","0","0","0","1","0","20220722","20220724"
"T2_4","0","0","0","0","0","1","0","20220725","20220918"
"T2_5","0","0","0","0","0","1","0","20220924","20221002"
"T2_6","0","0","0","0","0","1","0","20221003","20221023"
"T2_7","0","0","0","0","0","1","0","20220722","20220918"
"T2_8","0","0","0","0","0","1","0","20220722","20220827"
"T2_9","0","0","0","0","0","1","0","20220828","20220918"
"T3","0","0","0","0","0","0","1","20220722","20220807"
"T3_1","0","0","0","0","0","0","1","20220808","20220918"
"T3_10","0","0","0","0","0","0","1","20221003","20221023"
"T3_11","0","0","0","0","0","0","1","20220722","20220916"
"T3_12","0","0","0","0","0","0","1","20220722","20220918"
"T3_13","0","0","0","0","0","0","1","20220722","20221023"
"T3_2","0","0","0","0","0","0","1","20220722","20220918"
"T3_3","0","0","0","0","0","0","1","20220722","20220724"
"T3_4","0","0","0","0","0","0","1","20220725","20220918"
"T3_5","0","0","0","0","0","0","1","20220924","20221002"
"T3_6","0","0","0","0","0","0","1","20221003","20221023"
"T3_7","0","0","0","0","0","0","1","20220722","20220918"
"T3_8","0","0","0","0","0","0","1","20220722","20220827"
"T3_9","0","0","0","0","0","0","1","20220828","20220918"
"T5","1","1","1","1","0","0","0","20220725","20220918"
"T5_1","1","1","1","1","0","0","0","20220722","20220918"
"T6","0","0","0","0","1","0","0","20220722","20220724"
"T6_1","0","0","0","0","1","0","0","20220725","20220918"
"T6_2","0","0","0","0","1","0","0","20220722","20220918"
"TL","1","1","1","1","1","0","0","20220722","20220807"
"TL_1","1","1","1","1","1","0","0","20220808","20220918"
"TL_10","1","1","1","1","1","0","0","20220722","20221023"
"TL_11","0","0","0","0","1","0","0","20220722","20220724"
"TL_12","1","1","1","1","1","0","0","20220725","20220918"
"TL_13","1","1","1","1","1","0","0","20221003","20221023"
"TL_14","1","1","1","1","1","0","0","20220919","20221002"
"TL_15","1","1","1","1","1","0","0","20221003","20221023"
"TL_2","1","1","1","1","1","0","0","20220722","20220918"
"TL_3","1","1","1","1","0","0","0","20220919","20220922"
"TL_4","1","1","1","1","1","0","0","20220924","20221002"
"TL_5","1","1","1","1","1","0","0","20220722","20220827"
"TL_6","1","1","1","1","1","0","0","20220828","20220918"
"TL_7","1","1","1","1","1","0","0","20221003","20221023"
"TL_8","1","1","1","1","1","0","0","20220722","20220916"
"TL_9","1","1","1","1","1","0","0","20220722","20220918"
"TL+0c100","0","0","1","0","0","0","0","20220722","20220918"
"TL+0n100","1","1","1","0","0","0","0","20220919","20220922"
"TL+1c100","1","1","0","1","1","0","0","20220722","20220918"
"TL+1n100","0","1","0","0","0","0","0","20220919","20220922"
"TL+2n100","0","0","0","1","1","0","0","20220924","20221002"
"TL+3n100","1","1","1","0","0","0","0","20220924","20221002"
"TL+4n100","0","0","0","0","1","0","0","20220924","20221002"
"TL+5n100","0","0","0","1","1","0","0","20220924","20221002"
"TL+6n100","1","1","1","0","0","0","0","20220924","20221002"
"TL+7k100","0","0","0","0","1","0","0","20220722","20221023"
"TL+7l100","1","1","1","1","0","0","0","20220919","20220922"
"TL+7n100","0","0","0","1","1","0","0","20220924","20221002"
"TL+8k100","1","1","1","1","0","0","0","20220722","20221023"
"TL+8l100","0","0","0","0","1","0","0","20220924","20221002"
"TL+8n100","1","1","1","0","0","0","0","20220924","20221002"
"TL+9l100","1","1","1","1","0","0","0","20220924","20221002"
"TL+9n100","0","0","0","1","1","0","0","20220924","20221002"
"TL+an100","1","1","1","0","0","0","0","20220924","20221002"
"TL+bm100","0","0","0","0","1","0","0","20221003","20221023"
"TL+bn100","0","0","0","0","1","0","0","20220924","20221002"
"TL+cl100","1","1","0","1","0","0","0","20221003","20221023"
"TL+cm100","1","1","1","1","0","0","0","20221003","20221023"
"TL+cn100","0","1","0","0","0","0","0","20220924","20221002"
"TL+dl100","0","0","1","0","1","0","0","20221003","20221023"
"TL+dm100","1","1","1","0","0","0","0","20220725","20220918"
"TL+dn100","0","0","0","1","0","0","0","20220924","20221002"
"TL+el100","0","0","1","0","1","0","0","20220919","20221002"
"TL+em100","0","0","0","1","1","0","0","20220725","20220918"
"TL+en100","0","0","0","0","1","0","0","20220808","20220918"
"TL+fl100","1","1","0","1","0","0","0","20220919","20221002"
"TL+fm100","0","0","0","0","1","0","0","20220725","20220918"
"TL+fn100","1","1","1","1","0","0","0","20220808","20220918"
"TL+gm100","0","0","0","1","1","0","0","20220725","20220918"
"TL+gn100","1","0","1","1","1","0","0","20220808","20220918"
"TL+hm100","1","1","1","0","0","0","0","20220725","20220918"
"TL+hn100","0","1","0","0","0","0","0","20220808","20220918"
"TL+i9100","1","1","0","1","0","0","0","20220722","20220918"
"TL+im100","0","1","0","0","0","0","0","20220725","20220918"
"TL+in100","0","0","0","1","1","0","0","20221003","20221023"
"TL+j9100","0","0","1","0","1","0","0","20220722","20220918"
"TL+jm100","0","0","0","1","0","0","0","20220725","20220918"
"TL+jn100","1","1","1","0","0","0","0","20221003","20221023"
"TL+k8100","1","1","1","1","0","0","0","20220722","20220918"
"TL+k8100_1","1","1","1","1","0","0","0","20220722","20220916"
"TL+km100","1","1","1","0","0","0","0","20220919","20220922"
"TL+kn100","0","0","0","0","1","0","0","20221003","20221023"
