service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"T0","1","1","1","1","1","0","0","20220805","20221023"
"T0+a5","1","1","1","1","0","0","0","20220805","20221023"
"T0+a6","0","0","0","0","1","0","0","20220805","20221023"
"T2","0","0","0","0","0","1","0","20220722","20220724"
"T2_1","0","0","0","0","0","1","0","20220729","20220731"
"T2_2","0","0","0","0","0","1","0","20220801","20221023"
"T2_3","0","0","0","0","0","1","0","20220805","20221023"
"T5","1","1","1","1","0","0","0","20220725","20220728"
"T5_1","1","1","1","0","0","0","0","20220801","20220803"
"T5_2","0","0","1","1","0","0","0","20220727","20220728"
"T5_3","1","1","1","1","0","0","0","20220801","20220804"
"T5_4","1","1","0","0","0","0","0","20220725","20220726"
"T5+ao","1","0","0","0","0","0","0","20220725","20220728"
"T5+ao_1","1","0","0","0","0","0","0","20220725","20220726"
"T5+ap","0","1","0","0","0","0","0","20220725","20220728"
"T5+ar","0","0","0","1","0","0","0","20220727","20220728"
"T5+ar_1","0","0","0","1","0","0","0","20220801","20220804"
"T5+ar_2","0","0","0","1","0","0","0","20220725","20220728"
"T5+ll","0","1","1","0","0","0","0","20220725","20220728"
"T5+ph","0","0","1","1","0","0","0","20220725","20220728"
"T5+ta","0","1","1","1","0","0","0","20220725","20220728"
"T5+ta_1","0","1","0","0","0","0","0","20220725","20220726"
"T5+tb","1","0","1","1","0","0","0","20220725","20220728"
"T5+td","0","0","1","0","0","0","0","20220727","20220728"
"T5+td_1","1","1","1","0","0","0","0","20220801","20220804"
"T5+td_2","1","1","1","0","0","0","0","20220725","20220728"
"T5+tg","1","1","0","0","0","0","0","20220725","20220728"
"T6","0","0","0","0","1","0","0","20220722","20220724"
"T6_1","0","0","0","0","1","0","0","20220729","20220731"
"UJ","0","0","0","0","0","0","1","20220722","20220724"
"UJ_1","0","0","0","0","0","0","1","20220729","20220731"
"UJ_2","0","0","0","0","0","0","1","20220801","20221023"
"UJ_3","0","0","0","0","0","0","1","20220805","20221023"
"UO","1","0","0","0","0","0","0","20220725","20220725"
"UP","0","1","0","0","0","0","0","20220726","20220726"
"UQ","0","0","1","0","0","0","0","20220727","20220727"
"UR","0","0","0","1","0","0","0","20220804","20220804"
"UR_1","0","0","0","1","0","0","0","20220728","20220728"
